ccaa,year,fisica,candidates,take_up,mean,pass_pct,d_take_up,d_mean,d_take_up_nc,d_mean_nc
Castilla-La Mancha,2025,1959.0,8598.0,0.2278436845778088,5.86,65.58,-0.7934586340506291,-0.22090909090909072,-0.7136637682261225,-0.05333333333333368
Cataluña,2015,6716.0,26638.0,0.2521210301073654,6.0,72.36,0.767163619465855,-0.21727272727272773,0.9147244793626501,-0.17999999999999972
Cataluña,2016,6575.0,27063.0,0.24295163137863504,5.29,61.93,0.0638626669535729,-0.9272727272727277,0.24345076631968512,-0.8899999999999997
Cataluña,2017,6205.0,27760.0,0.22352305475504322,6.38,78.97,-1.4263262592315535,0.16272727272727217,-1.1788772570428734,0.20000000000000018
Cataluña,2018,6552.0,28925.0,0.22651685393258428,7.06,85.69,-1.1966992274614288,0.8427272727272719,-0.9597070857516938,0.8799999999999999
Cataluña,2019,6913.0,29385.0,0.23525608303556236,6.37,74.82,-0.526392663838082,0.15272727272727238,-0.3199252480715343,0.1900000000000004
Cataluña,2020,7335.0,32901.0,0.2229415519285128,6.89,79.76,-1.4709280378090297,0.672727272727272,,
Cataluña,2021,8144.0,32794.0,0.24833811062999328,6.93,83.57,0.47701036619125625,0.712727272727272,,
Cataluña,2022,8552.0,33250.0,0.257203007518797,5.82,68.68,1.1569557595880693,-0.39727272727272744,,
Cataluña,2023,8471.0,33734.0,0.25111163810991877,5.73,66.62,0.6897423648924048,-0.4872727272727273,,
Cataluña,2024,8397.0,34140.0,0.24595782073813707,5.94,71.54,0.29444003658474527,-0.27727272727272734,,
Cataluña,2025,8927.0,34683.0,0.25738834587550097,5.98,70.26,1.1711713746641756,-0.2372727272727273,1.3003343451837743,-0.1999999999999993
Comunitat Valenciana,2015,3734.0,16771.0,0.2226462345715819,5.75,66.71,-1.1776493664948418,-0.54,-1.1385167522466169,-0.2999999999999998
Comunitat Valenciana,2016,3867.0,17375.0,0.22256115107913668,6.02,71.5,-1.1833570373926505,-0.27000000000000046,-1.143986300006261,-0.03000000000000025
Comunitat Valenciana,2017,4116.0,16782.0,0.2452627815516625,6.3,75.12,0.33954043492592856,0.009999999999999787,0.31537612768472795,0.25
Comunitat Valenciana,2018,4735.0,18453.0,0.25659784316913237,6.31,74.8,1.0999323683031959,0.019999999999999574,1.044044628395165,0.2599999999999998
Comunitat Valenciana,2019,4312.0,18131.0,0.23782472009265898,6.03,70.54,-0.15942835097583596,-0.2599999999999998,-0.1627757584215582,-0.019999999999999574
Comunitat Valenciana,2020,4633.0,21367.0,0.21682969064445173,6.23,72.96,-1.5678416064300618,-0.05999999999999961,,
Comunitat Valenciana,2021,4998.0,21655.0,0.23080120064650197,6.39,76.93,-0.6305883420732871,0.09999999999999964,,
Comunitat Valenciana,2022,4901.0,19948.0,0.2456887908562262,6.91,82.63,0.36811849207866876,0.6200000000000001,,
Comunitat Valenciana,2023,5148.0,20342.0,0.2530724609182971,6.3,76.89,0.8634385303274927,0.009999999999999787,,
Comunitat Valenciana,2024,5427.0,21393.0,0.2536811106436685,7.06,84.9,0.9042686869727286,0.7699999999999996,,
Comunitat Valenciana,2025,5368.0,20867.0,0.25724828676858197,5.89,69.64,1.1435661907586534,-0.40000000000000036,1.0858580545945573,-0.16000000000000014
Extremadura,2015,994.0,4470.0,0.22237136465324384,6.77,81.23,0.5478201015291742,-0.03363636363636413,1.5441943968216372,0.711666666666666
Extremadura,2016,928.0,4646.0,0.19974171330176496,5.78,66.71,-0.4371198680480064,-1.0236363636363635,-0.6667290938664331,-0.2783333333333333
Extremadura,2017,875.0,4176.0,0.20953065134099616,5.44,61.9,-0.011063090380364704,-1.3636363636363633,0.28965298748684,-0.6183333333333332
Extremadura,2018,938.0,4506.0,0.20816688859298713,5.88,65.14,-0.0704199235313416,-0.9236363636363638,0.1564129720545455,-0.17833333333333368
Extremadura,2019,887.0,4622.0,0.19190826482042406,6.39,71.27,-0.7780653112217081,-0.413636363636364,-1.432059279095273,0.3316666666666661
Extremadura,2020,952.0,5702.0,0.16695896176780078,7.02,77.77,-1.8639665214503276,0.21636363636363587,,
Extremadura,2021,979.0,5029.0,0.19467090872936965,8.03,88.27,-0.6578231402148784,1.2263636363636357,,
Extremadura,2022,1040.0,4729.0,0.21991964474518927,8.44,93.67,0.44111068324672137,1.6363636363636358,,
Extremadura,2023,1118.0,4827.0,0.23161383882328568,8.55,93.54,0.9500924161339672,1.746363636363637,,
Extremadura,2024,1307.0,5124.0,0.25507416081186574,6.45,71.95,1.971186752357262,-0.3536363636363635,,
Extremadura,2025,1028.0,4950.0,0.20767676767676768,6.09,70.34,-0.09175209842049524,-0.7136363636363638,0.10852801659868899,0.03166666666666629
Galicia,2015,2098.0,9405.0,0.2230728335991494,5.43,60.44,0.6187311860842452,0.22454545454545372,0.1678664927500595,0.2183333333333337
Galicia,2016,2054.0,9752.0,0.21062346185397868,4.92,52.58,-0.09893344874149454,-0.28545454545454607,-0.47797332184401525,-0.2916666666666661
Galicia,2017,2166.0,8873.0,0.24411134903640258,5.01,53.7,1.831531221910065,-0.1954545454545462,1.259287906413039,-0.20166666666666622
Galicia,2018,2376.0,10070.0,0.23594836146971201,5.06,56.82,1.3609622959392786,-0.1454545454545464,0.8358141372527399,-0.1516666666666664
Galicia,2019,2134.0,9911.0,0.2153163152053274,5.22,60.66,0.1715938481875962,0.014545454545453751,-0.23452075247818008,0.008333333333333748
Galicia,2020,2424.0,12626.0,0.1919847932837003,4.88,53.26,-1.1733903407782897,-0.3254545454545461,,
Galicia,2021,2387.0,11190.0,0.21331546023235032,5.35,61.0,0.056251252359185315,0.14454545454545364,,
Galicia,2022,2287.0,10713.0,0.21347895080743023,5.78,65.21,0.06567593709540046,0.5745454545454542,,
Galicia,2023,2240.0,11011.0,0.203432930705658,4.67,49.63,-0.5134435153048502,-0.5354545454545461,,
Galicia,2024,2151.0,11059.0,0.19450221539017995,5.31,61.86,-1.0282693777505938,0.10454545454545361,,
Galicia,2025,2113.0,11124.0,0.18994965839626035,5.63,68.1,-1.290709059000539,0.4245454545454539,-1.5504744620936473,0.4183333333333339
Madrid (Comunidad de),2015,7939.0,27081.0,0.29315756434400503,5.88,67.86,-1.5795657945006005,-0.26454545454545464,-1.2203736678709889,0.19166666666666732
Madrid (Comunidad de),2016,8170.0,28100.0,0.2907473309608541,5.91,66.61,-1.6964837316065837,-0.2345454545454544,-1.3372469402529368,0.22166666666666757
Madrid (Comunidad de),2017,9194.0,27992.0,0.32845098599599887,5.83,67.9,0.13248171169077405,-0.31454545454545446,0.4910198058315099,0.1416666666666675
Madrid (Comunidad de),2018,9996.0,29775.0,0.33571788413098236,5.62,62.57,0.4849914499763049,-0.5245454545454544,0.8433948791497136,-0.06833333333333247
Madrid (Comunidad de),2019,9985.0,30370.0,0.3287783997365821,5.24,57.04,0.1483642147698342,-0.9045454545454543,0.5068962415129186,-0.44833333333333236
Madrid (Comunidad de),2020,11299.0,36879.0,0.3063803248461184,7.34,84.19,-0.9381433116983393,1.1954545454545453,,
Madrid (Comunidad de),2021,11297.0,33646.0,0.33576056589193365,7.1,81.46,0.48706189820648904,0.9554545454545451,,
Madrid (Comunidad de),2022,11772.0,34065.0,0.34557463672391014,5.93,69.18,0.9631323585644085,-0.21454545454545482,,
Madrid (Comunidad de),2023,12109.0,34020.0,0.3559376837154615,6.82,80.77,1.465833086574643,0.6754545454545458,,
Madrid (Comunidad de),2024,11396.0,34605.0,0.32931657274960263,6.27,75.47,0.17447043291797457,0.12545454545454504,,
Madrid (Comunidad de),2025,11748.0,35269.0,0.3330970540701466,5.65,61.76,0.35785768510509014,-0.4945454545454542,0.7163096816297891,-0.03833333333333222
Murcia (Región de),2015,1396.0,6157.0,0.22673379892804937,5.97,70.96,1.9979611909883792,0.29909090909090885,1.40513719864025,0.40499999999999936
