ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Balears (Illes),2020,extraordinary,specific,67.5,12.5,2.5,5,7.5,5
Balears (Illes),2020,ordinary,specific,41.85,12.23,11.16,10.84,9.33,14.59
Balears (Illes),2021,extraordinary,specific,67.89,15.6,6.42,7.34,0.92,1.83
Balears (Illes),2021,ordinary,specific,40.85,15.53,12.45,11.91,11.06,8.19
Balears (Illes),2022,extraordinary,specific,57.98,17.65,9.24,7.56,4.2,3.36
Balears (Illes),2022,ordinary,specific,39.53,13.81,12.81,13.47,10.24,10.13
Balears (Illes),2023,extraordinary,specific,70,7.69,8.46,3.08,3.85,6.92
Balears (Illes),2023,ordinary,specific,22.13,13.63,13.93,16.09,16.19,18.03
Balears (Illes),2024,extraordinary,specific,77.52,4.65,4.65,7.75,3.88,1.55
Balears (Illes),2024,ordinary,specific,28.53,12.96,13.73,15.57,14.41,14.8
Balears (Illes),2025,extraordinary,specific,64.29,17.58,6.59,4.4,4.95,2.2
Balears (Illes),2025,ordinary,specific,53.23,17.63,12.71,8.98,5.15,2.3
Canarias,2015,extraordinary,general,81.48,7.41,6.17,2.47,2.47,
Canarias,2015,extraordinary,specific,77.44,12.03,5.26,1.5,3.76,
Canarias,2015,ordinary,general,37.14,14.52,14.29,13.33,7.86,12.86
Canarias,2015,ordinary,specific,38.72,14.27,11.5,12.5,9.96,13.05
Canarias,2016,extraordinary,general,70.97,14.52,6.45,3.23,3.23,1.61
Canarias,2016,extraordinary,specific,72.33,11.95,9.43,1.89,1.89,2.52
Canarias,2016,ordinary,general,35.29,17.41,12.71,12,12.24,10.35
Canarias,2016,ordinary,specific,36.96,16.55,11.26,15.01,10.68,9.53
Canarias,2017,extraordinary,specific,80.54,8.56,6.23,1.95,1.95,0.78
Canarias,2017,ordinary,specific,40.17,15.44,11.55,13.82,10.58,8.44
Canarias,2018,extraordinary,specific,72.77,9.95,7.85,4.19,2.09,3.14
Canarias,2018,ordinary,specific,41.68,15.19,12.02,12.95,10.11,8.06
Canarias,2019,extraordinary,specific,69.19,9.88,6.4,6.98,4.07,3.49
Canarias,2019,ordinary,specific,67.31,17.21,6.61,4.13,2.68,2.06
Canarias,2020,extraordinary,specific,71.95,12.2,6.1,7.32,,2.44
Canarias,2020,ordinary,specific,43.74,11.51,10.97,11.17,8.6,14.01
Canarias,2021,extraordinary,specific,70.7,13.38,8.92,3.82,1.91,1.27
Canarias,2021,ordinary,specific,29.92,11.15,12.7,13.02,13.02,20.18
Canarias,2022,extraordinary,specific,76.54,12.85,3.35,2.79,1.68,2.79
Canarias,2022,ordinary,specific,28.3,13.21,11.65,13.73,16.2,16.92
Canarias,2023,extraordinary,specific,71.24,11.5,5.75,3.54,5.31,2.65
Canarias,2023,ordinary,specific,45.17,17.3,12.67,11.95,7.99,4.92
Canarias,2024,extraordinary,specific,62.36,10.67,6.74,12.92,3.37,3.93
Canarias,2024,ordinary,specific,34.32,14.93,12.31,12.9,12.44,13.1
Canarias,2025,extraordinary,specific,80.17,8.68,4.96,2.07,3.72,0.41
Canarias,2025,ordinary,specific,46.01,14.8,10.49,10.17,7.85,10.68
Cantabria,2015,extraordinary,specific,46.88,12.5,18.75,15.63,3.13,3.13
Cantabria,2015,ordinary,general,16.15,10.77,14.62,22.31,14.62,21.54
Cantabria,2015,ordinary,specific,15.06,13.65,15.53,18.59,20,17.18
Cantabria,2016,extraordinary,general,44.83,13.79,17.24,10.34,10.34,3.45
Cantabria,2016,extraordinary,specific,43.33,33.33,3.33,13.33,,6.67
Cantabria,2016,ordinary,general,3.55,7.09,12.06,26.24,23.4,27.66
Cantabria,2016,ordinary,specific,7.56,7.32,9.02,14.39,25.61,36.1
Cantabria,2017,extraordinary,specific,56.1,19.51,7.32,9.76,4.88,2.44
Cantabria,2017,ordinary,specific,30.87,16.7,11.84,14.76,16.5,9.32
Cantabria,2018,extraordinary,specific,57.5,10,10,12.5,5,5
Cantabria,2018,ordinary,specific,28.15,16.61,13.46,16.96,14.16,10.66
Cantabria,2019,extraordinary,specific,57.14,13.1,11.9,9.52,5.95,2.38
Cantabria,2019,ordinary,specific,37.72,18.36,12.18,14.17,10.78,6.79
Cantabria,2020,ordinary,specific,18.9,11.15,9.64,10.96,20.23,29.11
Cantabria,2021,extraordinary,specific,39.58,16.67,16.67,10.42,4.17,12.5
Cantabria,2021,ordinary,specific,11.68,5.92,10.83,12.01,22.34,37.23
Cantabria,2022,extraordinary,specific,44.68,10.64,19.15,8.51,12.77,4.26
Cantabria,2022,ordinary,specific,24.39,13.76,11.85,14.98,18.12,16.9
Cantabria,2023,extraordinary,specific,46.51,16.28,13.95,4.65,11.63,6.98
Cantabria,2023,ordinary,specific,14.75,12.73,14.29,16.46,18.94,22.83
Cantabria,2024,extraordinary,specific,36.36,16.67,7.58,24.24,6.06,9.09
Cantabria,2024,ordinary,specific,21.96,9.02,11.76,13.86,15.82,27.58
Cantabria,2025,extraordinary,specific,55.38,13.85,4.62,3.08,10.77,12.31
Cantabria,2025,ordinary,specific,37.02,18.99,19.26,13.66,8.06,3.01
Castilla y León,2015,extraordinary,general,54.55,16.88,6.49,9.09,9.09,3.9
Castilla y León,2015,extraordinary,specific,59.86,16.9,5.63,8.45,5.63,3.52
Castilla y León,2015,ordinary,general,35.95,18.81,17.14,12.14,9.29,6.67
Castilla y León,2015,ordinary,specific,44.82,16.9,13.59,12.18,7.71,4.81
Castilla y León,2016,extraordinary,general,78.21,14.1,5.13,1.28,1.28,
Castilla y León,2016,extraordinary,specific,76.27,6.78,8.47,4.24,3.39,0.85
Castilla y León,2016,ordinary,general,19.74,17.66,21.56,19.74,15.06,6.23
Castilla y León,2016,ordinary,specific,23.64,21.99,18.55,18.03,11.74,6.06
Castilla y León,2017,extraordinary,specific,80.11,8.06,4.3,2.15,3.23,2.15
Castilla y León,2017,ordinary,specific,50.94,15.34,11.12,10.05,6.89,5.67
Castilla y León,2018,extraordinary,specific,66.36,17.97,6.91,4.61,3.69,0.46
Castilla y León,2018,ordinary,specific,33.2,18.95,15.37,12.3,11.91,8.27
Castilla y León,2019,extraordinary,specific,49.57,24.57,10.78,6.9,6.03,2.16
Castilla y León,2019,ordinary,specific,31.28,18.64,14.75,15.24,11.99,8.1
Castilla y León,2020,extraordinary,specific,42.86,16.88,6.49,12.99,14.29,6.49
Castilla y León,2020,ordinary,specific,37.91,14.59,11.94,11.69,12.64,11.24
Castilla y León,2021,extraordinary,specific,50.59,15.88,12.94,10,5.29,5.29
Castilla y León,2021,ordinary,specific,22.5,15.22,16.1,18.64,17.76,9.78
Castilla y León,2022,extraordinary,specific,64.41,16.95,6.78,5.08,3.39,3.39
Castilla y León,2022,ordinary,specific,26.32,13.38,11,14.35,16.29,18.66
Castilla y León,2023,extraordinary,specific,61.81,18.09,9.05,5.53,4.52,1.01
Castilla y León,2023,ordinary,specific,32.68,18.94,14.44,11.94,11.42,10.59
Castilla y León,2024,extraordinary,specific,73.6,12.18,6.6,4.06,2.03,1.52
Castilla y León,2024,ordinary,specific,25.39,20.03,14.84,14.39,12.96,12.38
Castilla y León,2025,extraordinary,specific,64.48,19.67,9.29,4.37,1.64,0.55
Castilla y León,2025,ordinary,specific,24.34,18.28,15.79,14.57,15.93,11.09
Castilla-La Mancha,2015,extraordinary,general,67.65,11.76,11.76,8.82,,
Castilla-La Mancha,2015,extraordinary,specific,62.11,14.29,10.56,9.32,3.11,0.62
Castilla-La Mancha,2015,ordinary,general,22.39,13.9,13.13,17.37,13.51,19.69
Castilla-La Mancha,2015,ordinary,specific,28.16,12.79,11.08,13.26,15.05,19.66
Castilla-La Mancha,2016,extraordinary,general,77.78,18.52,,,,3.7
Castilla-La Mancha,2016,extraordinary,specific,78.38,8.78,7.43,1.35,3.38,0.68
Castilla-La Mancha,2016,ordinary,general,35.13,13.62,12.54,16.13,13.26,9.32
Castilla-La Mancha,2016,ordinary,specific,33.82,15.33,15.95,13.71,11.86,9.32
Castilla-La Mancha,2017,extraordinary,specific,74.84,6.92,7.55,4.4,3.77,2.52
Castilla-La Mancha,2017,ordinary,specific,30.7,13.55,13.07,12.77,13.61,16.31
Castilla-La Mancha,2018,extraordinary,specific,52.19,15.94,10.36,7.57,7.57,6.37
Castilla-La Mancha,2018,ordinary,specific,36.94,16.94,14.1,12.37,12.08,7.57
Castilla-La Mancha,2019,extraordinary,specific,52.3,24.71,8.05,6.9,4.6,3.45
Castilla-La Mancha,2019,ordinary,specific,28.9,14.29,12.7,13.89,13.36,16.87
Castilla-La Mancha,2020,extraordinary,specific,63.64,14.77,7.95,3.41,4.55,5.68
Castilla-La Mancha,2020,ordinary,specific,28.97,11.17,10.75,11.77,13.98,23.36
Castilla-La Mancha,2021,extraordinary,specific,47.37,18.42,11.84,11.18,5.92,5.26
Castilla-La Mancha,2021,ordinary,specific,28.32,16.74,13.97,14.47,13.53,12.96
Castilla-La Mancha,2022,extraordinary,specific,64.1,11.28,9.23,5.64,5.13,4.62
Castilla-La Mancha,2022,ordinary,specific,24.88,12.47,12.94,14.58,15.87,19.26
Castilla-La Mancha,2023,extraordinary,specific,60.11,14.21,9.29,6.56,6.01,3.83
Castilla-La Mancha,2023,ordinary,specific,28.78,16.96,15.59,15.13,13.25,10.28
Castilla-La Mancha,2024,extraordinary,specific,52.9,19.35,10.97,6.45,5.16,5.16
Castilla-La Mancha,2024,ordinary,specific,23.45,12.26,11.2,13.76,17.72,21.62
Castilla-La Mancha,2025,extraordinary,specific,49.69,16.15,12.42,7.45,6.21,8.07
Castilla-La Mancha,2025,ordinary,specific,34.42,13.57,11.6,12.61,10.99,16.82
Cataluña,2015,extraordinary,general,73.44,14.06,1.56,6.25,3.13,1.56
Cataluña,2015,extraordinary,specific,71.95,9.64,5.57,6.64,4.07,2.14
Cataluña,2015,ordinary,general,30.17,15.93,16.08,15.31,16.08,6.43
Cataluña,2015,ordinary,specific,27.64,12.96,16.39,16.62,15.03,11.37
Cataluña,2016,extraordinary,general,79.31,6.9,3.45,3.45,3.45,3.45
Cataluña,2016,extraordinary,specific,61.01,12.16,7.34,6.88,7.11,5.5
Cataluña,2016,ordinary,general,45.26,17.48,15.2,13.56,6.54,1.96
